fdr,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values
0.5,chrXVI:481979_C/T|YPL038W,YPL038W|YER007C-A,YKR062W|YNL193W,YKR062W|YOR032C,YMR193W|YKR062W,YMR193W|YBL002W,YMR193W|YOR032C,YJL187C|YDR501W,YJL187C|YAL029C,YPR167C|YBL002W,YPR167C|YJR137C,YGL254W|YNL277W,YGL254W|YGL255W,YBL002W|YOR313C,YDL191W|YGL205W,YDL191W|YGR281W,YDL191W|YNL193W,YGL205W|YDL191W,YGL205W|YOR313C,YGR281W|YDL191W,YGR281W|YOR032C,YDR234W|YNR050C,YOR313C|YLR447C,YNL193W|YBR035C,YDR501W|YJL187C,YDR501W|YBL002W,YNR050C|YJR137C,YOR047C|YDR234W,YJR137C|YDR234W,YJR137C|YNL277W,YOR032C|YKR062W,YOR032C|YMR193W,YAL029C|YJL187C,YAL029C|YBR035C,YAL029C|YDR326C,YDR326C|YAL029C,YDR326C|YLR447C,YNL277W|YGL254W,YLR447C|YKR062W,YLR447C|YNL193W,YLR447C|YOR047C,YGL255W|YGL254W,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
0.55,chrXVI:481979_C/T|YPL038W,YPL038W|YER007C-A,YKR062W|YNL193W,YKR062W|YOR032C,YMR193W|YKR062W,YMR193W|YBL002W,YMR193W|YOR032C,YJL187C|YDR501W,YJL187C|YAL029C,YPR167C|YBL002W,YPR167C|YJR137C,YGL254W|YNL277W,YGL254W|YGL255W,YBL002W|YOR313C,YDL191W|YGL205W,YDL191W|YGR281W,YDL191W|YNL193W,YGL205W|YDL191W,YGL205W|YOR313C,YGR281W|YDL191W,YGR281W|YOR032C,YDR234W|YNR050C,YOR313C|YLR447C,YNL193W|YBR035C,YDR501W|YJL187C,YDR501W|YBL002W,YNR050C|YJR137C,YOR047C|YDR234W,YJR137C|YDR234W,YJR137C|YNL277W,YOR032C|YKR062W,YOR032C|YMR193W,YAL029C|YJL187C,YAL029C|YBR035C,YAL029C|YDR326C,YDR326C|YAL029C,YDR326C|YLR447C,YNL277W|YGL254W,YLR447C|YKR062W,YLR447C|YNL193W,YLR447C|YOR047C,YGL255W|YGL254W,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
0.6,chrXVI:481979_C/T|YPL038W,YPL038W|YER007C-A,YKR062W|YNL193W,YKR062W|YOR032C,YMR193W|YKR062W,YMR193W|YBL002W,YMR193W|YOR032C,YJL187C|YDR501W,YJL187C|YAL029C,YPR167C|YBL002W,YPR167C|YJR137C,YGL254W|YNL277W,YGL254W|YGL255W,YBL002W|YOR313C,YDL191W|YGL205W,YDL191W|YGR281W,YDL191W|YNL193W,YGL205W|YDL191W,YGL205W|YOR313C,YGR281W|YDL191W,YGR281W|YOR032C,YDR234W|YNR050C,YOR313C|YLR447C,YNL193W|YBR035C,YDR501W|YJL187C,YDR501W|YBL002W,YNR050C|YJR137C,YOR047C|YDR234W,YJR137C|YDR234W,YJR137C|YNL277W,YOR032C|YKR062W,YOR032C|YMR193W,YAL029C|YJL187C,YAL029C|YBR035C,YAL029C|YDR326C,YDR326C|YAL029C,YDR326C|YLR447C,YNL277W|YGL254W,YLR447C|YKR062W,YLR447C|YNL193W,YLR447C|YOR047C,YGL255W|YGL254W,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
0.65,chrXVI:481979_C/T|YPL038W,chrXVI:481979_C/T|YOR313C,YPL038W|YER007C-A,YKR062W|YNL193W,YKR062W|YOR032C,YMR193W|YKR062W,YMR193W|YBL002W,YMR193W|YOR032C,YJL187C|YDR501W,YJL187C|YAL029C,YPR167C|YBL002W,YPR167C|YJR137C,YGL254W|YNL277W,YGL254W|YGL255W,YBL002W|YOR313C,YDL191W|YGL205W,YDL191W|YGR281W,YDL191W|YNL193W,YGL205W|YDL191W,YGL205W|YOR313C,YGR281W|YDL191W,YGR281W|YOR032C,YDR234W|YNR050C,YOR313C|YLR447C,YNL193W|YBR035C,YDR501W|YJL187C,YDR501W|YBL002W,YNR050C|YJR137C,YOR047C|YDR234W,YJR137C|YDR234W,YJR137C|YNL277W,YOR032C|YKR062W,YOR032C|YMR193W,YAL029C|YJL187C,YAL029C|YBR035C,YAL029C|YDR326C,YDR326C|YAL029C,YDR326C|YLR447C,YNL277W|YGL254W,YLR447C|YKR062W,YLR447C|YNL193W,YLR447C|YOR047C,YGL255W|YGL254W,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
0.7,chrXVI:481979_C/T|YPL038W,chrXVI:481979_C/T|YOR313C,YPL038W|YER007C-A,YKR062W|YNL193W,YKR062W|YOR032C,YMR193W|YKR062W,YMR193W|YBL002W,YMR193W|YOR032C,YJL187C|YDR501W,YJL187C|YAL029C,YPR167C|YBL002W,YPR167C|YJR137C,YGL254W|YNL277W,YGL254W|YGL255W,YBL002W|YOR313C,YDL191W|YGL205W,YDL191W|YGR281W,YDL191W|YNL193W,YGL205W|YDL191W,YGL205W|YOR313C,YGR281W|YDL191W,YGR281W|YOR032C,YDR234W|YNR050C,YOR313C|YLR447C,YNL193W|YBR035C,YDR501W|YJL187C,YDR501W|YBL002W,YNR050C|YJR137C,YOR047C|YDR234W,YJR137C|YDR234W,YJR137C|YNL277W,YOR032C|YKR062W,YOR032C|YMR193W,YAL029C|YJL187C,YAL029C|YBR035C,YAL029C|YDR326C,YDR326C|YAL029C,YDR326C|YLR447C,YNL277W|YGL254W,YLR447C|YKR062W,YLR447C|YNL193W,YLR447C|YOR047C,YGL255W|YGL254W,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
0.75,chrXVI:481979_C/T|YPL038W,chrXVI:481979_C/T|YOR313C,YPL038W|YER007C-A,YKR062W|YNL193W,YKR062W|YOR032C,YMR193W|YKR062W,YMR193W|YBL002W,YMR193W|YOR032C,YJL187C|YDR501W,YJL187C|YAL029C,YPR167C|YBL002W,YPR167C|YJR137C,YGL254W|YNL277W,YGL254W|YGL255W,YBL002W|YOR313C,YDL191W|YGL205W,YDL191W|YGR281W,YDL191W|YNL193W,YGL205W|YBL002W,YGL205W|YDL191W,YGR281W|YDL191W,YGR281W|YOR032C,YDR234W|YNR050C,YOR313C|YGL205W,YOR313C|YLR447C,YNL193W|YBR035C,YDR501W|YJL187C,YDR501W|YBL002W,YNR050C|YJR137C,YOR047C|YDR234W,YJR137C|YDR234W,YJR137C|YNL277W,YOR032C|YKR062W,YOR032C|YMR193W,YAL029C|YJL187C,YAL029C|YBR035C,YAL029C|YDR326C,YDR326C|YAL029C,YDR326C|YLR447C,YNL277W|YGL254W,YLR447C|YKR062W,YLR447C|YNL193W,YLR447C|YOR047C,YGL255W|YGL254W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.8,chrXVI:481979_C/T|YPL038W,chrXVI:481979_C/T|YOR313C,YPL038W|YER007C-A,YKR062W|YNL193W,YKR062W|YOR032C,YMR193W|YKR062W,YMR193W|YBL002W,YMR193W|YOR032C,YJL187C|YDR501W,YJL187C|YAL029C,YPR167C|YBL002W,YPR167C|YJR137C,YGL254W|YNL277W,YGL254W|YGL255W,YBL002W|YOR313C,YDL191W|YGL205W,YDL191W|YGR281W,YDL191W|YNL193W,YGL205W|YBL002W,YGL205W|YDL191W,YGR281W|YDL191W,YGR281W|YOR032C,YDR234W|YNR050C,YOR313C|YGL205W,YOR313C|YLR447C,YNL193W|YBR035C,YDR501W|YJL187C,YDR501W|YBL002W,YNR050C|YJR137C,YOR047C|YDR234W,YJR137C|YDR234W,YJR137C|YNL277W,YOR032C|YKR062W,YOR032C|YMR193W,YAL029C|YJL187C,YAL029C|YBR035C,YAL029C|YDR326C,YDR326C|YAL029C,YDR326C|YLR447C,YNL277W|YGL254W,YLR447C|YKR062W,YLR447C|YNL193W,YLR447C|YOR047C,YGL255W|YGL254W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.85,chrXVI:481979_C/T|YPL038W,chrXVI:481979_C/T|YOR313C,YPL038W|YER007C-A,YKR062W|YNL193W,YKR062W|YOR032C,YMR193W|YKR062W,YMR193W|YBL002W,YMR193W|YOR032C,YJL187C|YDR501W,YJL187C|YAL029C,YPR167C|YBL002W,YPR167C|YJR137C,YGL254W|YNL277W,YGL254W|YGL255W,YBL002W|YOR313C,YDL191W|YGL205W,YDL191W|YGR281W,YDL191W|YNL193W,YGL205W|YBL002W,YGL205W|YDL191W,YGR281W|YDL191W,YGR281W|YOR032C,YDR234W|YNR050C,YOR313C|YGL205W,YOR313C|YLR447C,YNL193W|YBR035C,YDR501W|YJL187C,YDR501W|YBL002W,YNR050C|YJR137C,YOR047C|YDR234W,YJR137C|YDR234W,YJR137C|YNL277W,YOR032C|YKR062W,YOR032C|YMR193W,YAL029C|YJL187C,YAL029C|YBR035C,YAL029C|YDR326C,YDR326C|YAL029C,YDR326C|YLR447C,YNL277W|YGL254W,YLR447C|YKR062W,YLR447C|YNL193W,YLR447C|YOR047C,YGL255W|YGL254W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.9,chrXVI:481979_C/T|YPL038W,chrXVI:481979_C/T|YOR313C,YPL038W|YER007C-A,YKR062W|YNL193W,YKR062W|YOR032C,YMR193W|YKR062W,YMR193W|YBL002W,YMR193W|YOR032C,YJL187C|YDR501W,YJL187C|YAL029C,YPR167C|YBL002W,YPR167C|YJR137C,YGL254W|YNL277W,YGL254W|YGL255W,YBL002W|YOR313C,YDL191W|YGL205W,YDL191W|YGR281W,YDL191W|YNL193W,YGL205W|YBL002W,YGL205W|YDL191W,YGR281W|YDL191W,YGR281W|YOR032C,YDR234W|YNR050C,YOR313C|YGL205W,YOR313C|YLR447C,YNL193W|YBR035C,YDR501W|YJL187C,YDR501W|YBL002W,YNR050C|YJR137C,YOR047C|YDR234W,YJR137C|YDR234W,YJR137C|YNL277W,YOR032C|YKR062W,YOR032C|YMR193W,YAL029C|YJL187C,YAL029C|YBR035C,YAL029C|YDR326C,YDR326C|YAL029C,YDR326C|YLR447C,YNL277W|YGL254W,YLR447C|YKR062W,YLR447C|YNL193W,YLR447C|YOR047C,YGL255W|YGL254W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.95,chrXVI:481979_C/T|YPL038W,chrXVI:481979_C/T|YOR313C,YPL038W|YER007C-A,YKR062W|YNL193W,YKR062W|YOR032C,YMR193W|YKR062W,YMR193W|YBL002W,YMR193W|YOR032C,YJL187C|YDR501W,YJL187C|YAL029C,YPR167C|YBL002W,YPR167C|YJR137C,YGL254W|YNL277W,YGL254W|YGL255W,YBL002W|YOR313C,YDL191W|YGL205W,YDL191W|YGR281W,YDL191W|YNL193W,YGL205W|YBL002W,YGL205W|YDL191W,YGR281W|YDL191W,YGR281W|YOR032C,YDR234W|YNR050C,YOR313C|YGL205W,YOR313C|YLR447C,YNL193W|YBR035C,YDR501W|YJL187C,YDR501W|YBL002W,YNR050C|YJR137C,YOR047C|YDR234W,YJR137C|YDR234W,YJR137C|YNL277W,YOR032C|YKR062W,YOR032C|YMR193W,YAL029C|YJL187C,YAL029C|YBR035C,YAL029C|YDR326C,YDR326C|YAL029C,YDR326C|YLR447C,YNL277W|YGL254W,YLR447C|YKR062W,YLR447C|YNL193W,YLR447C|YOR047C,YGL255W|YGL254W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,chrXVI:481979_C/T|YPL038W,chrXVI:481979_C/T|YOR313C,YPL038W|YER007C-A,YKR062W|YNL193W,YKR062W|YOR032C,YMR193W|YKR062W,YMR193W|YBL002W,YMR193W|YOR032C,YJL187C|YDR501W,YJL187C|YAL029C,YPR167C|YBL002W,YPR167C|YJR137C,YGL254W|YNL277W,YGL254W|YGL255W,YBL002W|YOR313C,YDL191W|YGL205W,YDL191W|YGR281W,YDL191W|YNL193W,YGL205W|YBL002W,YGL205W|YDL191W,YGR281W|YDL191W,YGR281W|YOR032C,YDR234W|YNR050C,YOR313C|YGL205W,YOR313C|YLR447C,YNL193W|YBR035C,YDR501W|YJL187C,YDR501W|YBL002W,YNR050C|YJR137C,YOR047C|YDR234W,YJR137C|YDR234W,YJR137C|YNL277W,YOR032C|YKR062W,YOR032C|YMR193W,YAL029C|YJL187C,YAL029C|YBR035C,YAL029C|YDR326C,YDR326C|YAL029C,YDR326C|YLR447C,YNL277W|YGL254W,YLR447C|YKR062W,YLR447C|YNL193W,YLR447C|YOR047C,YGL255W|YGL254W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
