fdr,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values
0.5,chrVIII:459310_C/G|YHR163W,chrVIII:459310_C/G|YDR231C,YHR178W|YOR087W,YHR178W|YEL041W,YOR087W|YHR178W,YLR377C|YHR183W,YMR172W|YDL073W,YMR172W|YER099C,YMR172W|YMR182C,YOR074C|YDR534C,YER089C|YHR161C,YER089C|YOL155C,YDL198C|YEL071W,YEL041W|YHR178W,YEL041W|YLR152C,YHR184W|YDR534C,YDR534C|YOR074C,YDR534C|YHR184W,YDR534C|YOL155C,YHR161C|YLR151C,YMR315W|YHR161C,YMR315W|YOR120W,YEL071W|YDL198C,YEL071W|YFL030W,YEL071W|YER099C,YOR120W|YFL030W,YOR120W|YMR315W,YOR120W|YJR100C,YJR100C|YHR161C,YHR183W|YLR377C,YHR183W|YHR163W,YHR183W|YMR318C,YER018C|YDL073W,YER018C|YFL030W,YDR231C|YJR100C,YNL274C|YFL030W,YNL274C|YMR315W,YNL274C|YOR120W,YDR232W|YGL196W,YDR232W|YMR182C,YGL196W|YDR232W,YGL196W|YDR248C,YMR182C|YDL047W,YMR318C|YHR183W,YLR152C|YEL041W,YLR152C|YLR151C,YOL155C|YER089C,YOL155C|YDR534C,YOL155C|YNL274C,YDR248C|YNL274C,YDR248C|YGL196W,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
0.55,chrVIII:459310_C/G|YHR163W,chrVIII:459310_C/G|YDR231C,YHR178W|YOR087W,YHR178W|YEL041W,YOR087W|YHR178W,YLR377C|YHR183W,YMR172W|YDL073W,YMR172W|YER099C,YMR172W|YMR182C,YOR074C|YDR534C,YER089C|YHR161C,YER089C|YOL155C,YDL198C|YEL071W,YEL041W|YHR178W,YEL041W|YLR152C,YHR184W|YDR534C,YDR534C|YOR074C,YDR534C|YHR184W,YDR534C|YOL155C,YHR161C|YLR151C,YMR315W|YHR161C,YMR315W|YOR120W,YEL071W|YDL198C,YEL071W|YFL030W,YEL071W|YER099C,YOR120W|YFL030W,YOR120W|YMR315W,YOR120W|YJR100C,YJR100C|YHR161C,YHR183W|YLR377C,YHR183W|YHR163W,YHR183W|YMR318C,YER018C|YDL073W,YER018C|YFL030W,YDR231C|YJR100C,YNL274C|YFL030W,YNL274C|YMR315W,YNL274C|YOR120W,YDR232W|YGL196W,YDR232W|YMR182C,YGL196W|YDR232W,YGL196W|YDR248C,YMR182C|YDL047W,YMR318C|YHR183W,YLR152C|YEL041W,YLR152C|YLR151C,YOL155C|YER089C,YOL155C|YDR534C,YOL155C|YNL274C,YDR248C|YNL274C,YDR248C|YGL196W,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
0.6,chrVIII:459310_C/G|YHR163W,chrVIII:459310_C/G|YDR231C,YHR178W|YOR087W,YHR178W|YEL041W,YOR087W|YHR178W,YLR377C|YHR183W,YMR172W|YDL073W,YMR172W|YMR182C,YOR074C|YDR534C,YER089C|YHR161C,YER089C|YOL155C,YDL198C|YEL071W,YEL041W|YHR178W,YEL041W|YLR152C,YHR184W|YDR534C,YDR534C|YOR074C,YDR534C|YHR184W,YDR534C|YOL155C,YHR161C|YLR151C,YMR315W|YHR161C,YMR315W|YOR120W,YEL071W|YDL198C,YEL071W|YFL030W,YEL071W|YER099C,YOR120W|YFL030W,YOR120W|YMR315W,YJR100C|YHR161C,YHR183W|YLR377C,YHR183W|YHR163W,YHR183W|YMR318C,YER018C|YDL073W,YER018C|YFL030W,YDR231C|YJR100C,YNL274C|YFL030W,YNL274C|YMR315W,YNL274C|YOR120W,YDR232W|YGL196W,YDR232W|YMR182C,YGL196W|YDR232W,YGL196W|YDR248C,YER099C|YEL071W,YER099C|YJR100C,YMR182C|YDL047W,YMR318C|YHR183W,YLR152C|YEL041W,YLR152C|YLR151C,YOL155C|YER089C,YOL155C|YDR534C,YOL155C|YNL274C,YDR248C|YNL274C,YDR248C|YGL196W,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
0.65,chrVIII:459310_C/G|YHR163W,chrVIII:459310_C/G|YDR231C,YHR178W|YOR087W,YHR178W|YEL041W,YOR087W|YHR178W,YLR377C|YHR183W,YMR172W|YDL073W,YMR172W|YMR182C,YOR074C|YDR534C,YER089C|YHR161C,YER089C|YOL155C,YDL198C|YEL071W,YEL041W|YHR178W,YEL041W|YLR152C,YHR184W|YDR534C,YDR534C|YOR074C,YDR534C|YHR184W,YDR534C|YOL155C,YHR161C|YLR151C,YMR315W|YHR161C,YMR315W|YOR120W,YEL071W|YDL198C,YEL071W|YFL030W,YEL071W|YER099C,YOR120W|YFL030W,YOR120W|YMR315W,YJR100C|YHR161C,YHR183W|YLR377C,YHR183W|YHR163W,YHR183W|YMR318C,YER018C|YDL073W,YER018C|YFL030W,YDR231C|YJR100C,YNL274C|YFL030W,YNL274C|YMR315W,YNL274C|YOR120W,YDR232W|YGL196W,YDR232W|YMR182C,YGL196W|YDR232W,YGL196W|YDR248C,YER099C|YEL071W,YER099C|YJR100C,YMR182C|YDL047W,YMR318C|YHR183W,YLR152C|YEL041W,YLR152C|YLR151C,YOL155C|YER089C,YOL155C|YDR534C,YOL155C|YNL274C,YDR248C|YNL274C,YDR248C|YGL196W,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
0.7,chrVIII:459310_C/G|YHR163W,chrVIII:459310_C/G|YDR231C,YHR178W|YOR087W,YHR178W|YEL041W,YOR087W|YHR178W,YMR172W|YDL073W,YMR172W|YMR182C,YOR074C|YDR534C,YER089C|YHR161C,YER089C|YOL155C,YDL198C|YEL071W,YEL041W|YHR178W,YEL041W|YLR152C,YHR184W|YDR534C,YDR534C|YOR074C,YDR534C|YHR184W,YDR534C|YOL155C,YHR161C|YLR151C,YMR315W|YHR161C,YMR315W|YOR120W,YEL071W|YDL198C,YEL071W|YFL030W,YEL071W|YER099C,YOR120W|YFL030W,YOR120W|YMR315W,YJR100C|YHR161C,YHR183W|YHR163W,YHR183W|YMR318C,YER018C|YDL073W,YER018C|YFL030W,YDR231C|YJR100C,YNL274C|YFL030W,YNL274C|YMR315W,YNL274C|YOR120W,YDR232W|YGL196W,YDR232W|YMR182C,YGL196W|YDR232W,YGL196W|YDR248C,YER099C|YEL071W,YER099C|YJR100C,YMR182C|YDL047W,YMR318C|YHR183W,YLR152C|YEL041W,YLR152C|YLR151C,YOL155C|YER089C,YOL155C|YDR534C,YOL155C|YNL274C,YDR248C|YNL274C,YDR248C|YGL196W,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
0.75,chrVIII:459310_C/G|YHR163W,chrVIII:459310_C/G|YDR231C,YHR178W|YOR087W,YHR178W|YEL041W,YOR087W|YHR178W,YMR172W|YDL073W,YMR172W|YMR182C,YOR074C|YDR534C,YER089C|YHR161C,YER089C|YOL155C,YDL198C|YEL071W,YEL041W|YHR178W,YEL041W|YLR152C,YHR184W|YDR534C,YDR534C|YOR074C,YDR534C|YHR184W,YDR534C|YOL155C,YHR161C|YLR151C,YMR315W|YHR161C,YMR315W|YOR120W,YEL071W|YDL198C,YEL071W|YFL030W,YEL071W|YER099C,YOR120W|YFL030W,YOR120W|YMR315W,YJR100C|YHR161C,YHR183W|YHR163W,YHR183W|YMR318C,YER018C|YDL073W,YER018C|YFL030W,YDR231C|YJR100C,YNL274C|YFL030W,YNL274C|YMR315W,YNL274C|YOR120W,YDR232W|YGL196W,YDR232W|YMR182C,YGL196W|YDR232W,YGL196W|YDR248C,YER099C|YEL071W,YER099C|YJR100C,YMR182C|YDL047W,YMR318C|YHR183W,YLR152C|YEL041W,YLR152C|YLR151C,YOL155C|YER089C,YOL155C|YDR534C,YOL155C|YNL274C,YDR248C|YNL274C,YDR248C|YGL196W,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
0.8,chrVIII:459310_C/G|YHR163W,chrVIII:459310_C/G|YDR231C,YHR178W|YOR087W,YHR178W|YEL041W,YOR087W|YHR178W,YMR172W|YDL073W,YMR172W|YMR182C,YOR074C|YDR534C,YER089C|YHR161C,YER089C|YOL155C,YDL198C|YEL071W,YEL041W|YHR178W,YEL041W|YLR152C,YHR184W|YDR534C,YDR534C|YOR074C,YDR534C|YHR184W,YDR534C|YOL155C,YHR161C|YLR151C,YMR315W|YHR161C,YMR315W|YOR120W,YEL071W|YDL198C,YEL071W|YFL030W,YEL071W|YER099C,YOR120W|YFL030W,YOR120W|YMR315W,YJR100C|YHR161C,YHR183W|YHR163W,YHR183W|YMR318C,YER018C|YDL073W,YER018C|YFL030W,YDR231C|YJR100C,YNL274C|YFL030W,YNL274C|YMR315W,YNL274C|YOR120W,YDR232W|YGL196W,YDR232W|YMR182C,YGL196W|YDR232W,YGL196W|YDR248C,YER099C|YEL071W,YER099C|YJR100C,YMR182C|YDL047W,YMR318C|YHR183W,YLR152C|YEL041W,YLR152C|YLR151C,YOL155C|YER089C,YOL155C|YDR534C,YOL155C|YNL274C,YDR248C|YNL274C,YDR248C|YGL196W,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
0.85,chrVIII:459310_C/G|YHR163W,chrVIII:459310_C/G|YDR231C,YHR178W|YOR087W,YHR178W|YEL041W,YOR087W|YHR178W,YMR172W|YDL073W,YMR172W|YMR182C,YOR074C|YDR534C,YER089C|YHR161C,YER089C|YOL155C,YDL198C|YEL071W,YEL041W|YHR178W,YEL041W|YLR152C,YHR184W|YDR534C,YDR534C|YOR074C,YDR534C|YHR184W,YDR534C|YOL155C,YHR161C|YLR151C,YMR315W|YHR161C,YMR315W|YOR120W,YEL071W|YDL198C,YEL071W|YFL030W,YEL071W|YER099C,YOR120W|YFL030W,YOR120W|YMR315W,YJR100C|YHR161C,YHR183W|YHR163W,YHR183W|YMR318C,YER018C|YDL073W,YER018C|YFL030W,YDR231C|YJR100C,YNL274C|YFL030W,YNL274C|YMR315W,YNL274C|YOR120W,YDR232W|YGL196W,YDR232W|YMR182C,YGL196W|YDR232W,YGL196W|YDR248C,YER099C|YEL071W,YER099C|YJR100C,YMR182C|YDL047W,YMR318C|YHR183W,YLR152C|YEL041W,YLR152C|YLR151C,YOL155C|YER089C,YOL155C|YDR534C,YOL155C|YNL274C,YDR248C|YNL274C,YDR248C|YGL196W,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
0.9,chrVIII:459310_C/G|YHR163W,chrVIII:459310_C/G|YDR231C,YHR178W|YOR087W,YHR178W|YEL041W,YOR087W|YHR178W,YMR172W|YDL073W,YMR172W|YMR182C,YOR074C|YDR534C,YER089C|YHR161C,YER089C|YOL155C,YDL198C|YEL071W,YEL041W|YHR178W,YEL041W|YLR152C,YHR184W|YDR534C,YDR534C|YOR074C,YDR534C|YHR184W,YDR534C|YOL155C,YHR161C|YLR151C,YMR315W|YHR161C,YMR315W|YOR120W,YEL071W|YDL198C,YEL071W|YFL030W,YEL071W|YER099C,YOR120W|YFL030W,YOR120W|YMR315W,YJR100C|YHR161C,YHR183W|YHR163W,YHR183W|YMR318C,YER018C|YDL073W,YER018C|YFL030W,YDR231C|YJR100C,YNL274C|YFL030W,YNL274C|YMR315W,YNL274C|YOR120W,YDR232W|YGL196W,YDR232W|YMR182C,YGL196W|YDR232W,YGL196W|YDR248C,YER099C|YEL071W,YER099C|YJR100C,YMR182C|YDL047W,YMR318C|YHR183W,YLR152C|YEL041W,YLR152C|YLR151C,YOL155C|YER089C,YOL155C|YDR534C,YOL155C|YNL274C,YDR248C|YNL274C,YDR248C|YGL196W,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
0.95,chrVIII:459310_C/G|YHR163W,chrVIII:459310_C/G|YDR231C,YHR178W|YOR087W,YHR178W|YEL041W,YOR087W|YHR178W,YMR172W|YDL073W,YMR172W|YMR182C,YOR074C|YDR534C,YER089C|YHR161C,YER089C|YOL155C,YDL198C|YEL071W,YEL041W|YHR178W,YEL041W|YLR152C,YHR184W|YDR534C,YDR534C|YOR074C,YDR534C|YHR184W,YDR534C|YOL155C,YHR161C|YLR151C,YMR315W|YHR161C,YMR315W|YOR120W,YEL071W|YDL198C,YEL071W|YFL030W,YEL071W|YER099C,YOR120W|YFL030W,YOR120W|YMR315W,YJR100C|YHR161C,YHR183W|YHR163W,YHR183W|YMR318C,YER018C|YDL073W,YER018C|YFL030W,YDR231C|YJR100C,YNL274C|YFL030W,YNL274C|YMR315W,YNL274C|YOR120W,YDR232W|YGL196W,YDR232W|YMR182C,YGL196W|YDR232W,YGL196W|YDR248C,YER099C|YEL071W,YER099C|YJR100C,YMR182C|YDL047W,YMR318C|YHR183W,YLR152C|YEL041W,YLR152C|YLR151C,YOL155C|YER089C,YOL155C|YDR534C,YOL155C|YNL274C,YDR248C|YNL274C,YDR248C|YGL196W,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
1,chrVIII:459310_C/G|YHR163W,chrVIII:459310_C/G|YDR231C,YHR178W|YOR087W,YHR178W|YEL041W,YOR087W|YHR178W,YMR172W|YDL073W,YMR172W|YMR182C,YOR074C|YDR534C,YER089C|YHR161C,YER089C|YOL155C,YDL198C|YEL071W,YEL041W|YHR178W,YEL041W|YLR152C,YHR184W|YDR534C,YDR534C|YOR074C,YDR534C|YHR184W,YDR534C|YOL155C,YHR161C|YLR151C,YMR315W|YHR161C,YMR315W|YOR120W,YEL071W|YDL198C,YEL071W|YFL030W,YEL071W|YER099C,YOR120W|YFL030W,YOR120W|YMR315W,YJR100C|YHR161C,YHR183W|YHR163W,YHR183W|YMR318C,YER018C|YDL073W,YER018C|YFL030W,YDR231C|YJR100C,YNL274C|YFL030W,YNL274C|YMR315W,YNL274C|YOR120W,YDR232W|YGL196W,YDR232W|YMR182C,YGL196W|YDR232W,YGL196W|YDR248C,YER099C|YEL071W,YER099C|YJR100C,YMR182C|YDL047W,YMR318C|YHR183W,YLR152C|YEL041W,YLR152C|YLR151C,YOL155C|YER089C,YOL155C|YDR534C,YOL155C|YNL274C,YDR248C|YNL274C,YDR248C|YGL196W,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
