fdr,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values
0.5,chrIV:1338321_T/G|YDR487C,YDR253C|YKL104C,YDR253C|YIR017C,YKL104C|YOL011W,YDR378C|YKL104C,YDR378C|YKR042W,YPL054W|YDR487C,YPL054W|YLR297W,YKR042W|YDR378C,YKR042W|YIR017C,YKL071W|YPL054W,YKL071W|YDR487C,YDR487C|YPL054W,YIR017C|YDR253C,YIR017C|YPL054W,YIR017C|YKR042W,YLR297W|YPR194C,YLR297W|YOL011W,YOL011W|YLR297W,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
0.55,chrIV:1338321_T/G|YDR487C,YDR253C|YKL104C,YDR253C|YIR017C,YKL104C|YOL011W,YDR378C|YKL104C,YDR378C|YKR042W,YPL054W|YDR487C,YPL054W|YLR297W,YKR042W|YDR378C,YKR042W|YIR017C,YKL071W|YPL054W,YKL071W|YDR487C,YDR487C|YPL054W,YIR017C|YDR253C,YIR017C|YPL054W,YIR017C|YKR042W,YLR297W|YPR194C,YLR297W|YOL011W,YOL011W|YLR297W,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
0.6,chrIV:1338321_T/G|YDR487C,YDR253C|YKL104C,YDR253C|YIR017C,YKL104C|YOL011W,YDR378C|YKL104C,YDR378C|YKR042W,YPL054W|YDR487C,YPL054W|YLR297W,YKR042W|YDR378C,YKR042W|YIR017C,YKL071W|YPL054W,YKL071W|YDR487C,YDR487C|YPL054W,YIR017C|YDR253C,YIR017C|YPL054W,YIR017C|YKR042W,YLR297W|YPR194C,YLR297W|YOL011W,YOL011W|YLR297W,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
0.65,chrIV:1338321_T/G|YDR487C,YDR253C|YKL104C,YDR253C|YIR017C,YKL104C|YOL011W,YDR378C|YKL104C,YDR378C|YKR042W,YPL054W|YDR487C,YPL054W|YLR297W,YKR042W|YDR378C,YKR042W|YIR017C,YKL071W|YPL054W,YKL071W|YDR487C,YDR487C|YPL054W,YIR017C|YDR253C,YIR017C|YPL054W,YIR017C|YKR042W,YLR297W|YPR194C,YLR297W|YOL011W,YOL011W|YLR297W,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
0.7,chrIV:1338321_T/G|YDR487C,YDR253C|YKL104C,YDR253C|YIR017C,YKL104C|YOL011W,YDR378C|YKL104C,YDR378C|YKR042W,YPL054W|YDR487C,YPL054W|YLR297W,YKR042W|YDR378C,YKR042W|YIR017C,YKL071W|YPL054W,YKL071W|YDR487C,YDR487C|YPL054W,YIR017C|YPL054W,YLR297W|YPR194C,YLR297W|YOL011W,YOL011W|YLR297W,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA
0.75,chrIV:1338321_T/G|YDR487C,YDR253C|YKL104C,YDR253C|YIR017C,YKL104C|YOL011W,YDR378C|YKL104C,YDR378C|YKR042W,YPL054W|YDR487C,YPL054W|YLR297W,YKR042W|YDR378C,YKR042W|YIR017C,YKL071W|YPL054W,YKL071W|YDR487C,YKL071W|YLR297W,YPR194C|YLR297W,YDR487C|YPL054W,YIR017C|YPL054W,YLR297W|YPL054W,YLR297W|YOL011W,YOL011W|YLR297W,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
0.8,chrIV:1338321_T/G|YDR487C,YDR253C|YKL104C,YDR253C|YIR017C,YKL104C|YOL011W,YDR378C|YKL104C,YDR378C|YKR042W,YPL054W|YDR487C,YPL054W|YLR297W,YKR042W|YDR378C,YKR042W|YIR017C,YKL071W|YPL054W,YKL071W|YDR487C,YKL071W|YLR297W,YPR194C|YLR297W,YDR487C|YPL054W,YIR017C|YPL054W,YLR297W|YPL054W,YLR297W|YOL011W,YOL011W|YLR297W,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
0.85,chrIV:1338321_T/G|YDR487C,YDR253C|YKL104C,YDR253C|YIR017C,YKL104C|YOL011W,YDR378C|YKL104C,YDR378C|YKR042W,YPL054W|YDR487C,YPL054W|YLR297W,YKR042W|YDR378C,YKR042W|YIR017C,YKL071W|YPL054W,YKL071W|YDR487C,YKL071W|YLR297W,YPR194C|YLR297W,YDR487C|YPL054W,YIR017C|YPL054W,YLR297W|YPL054W,YLR297W|YOL011W,YOL011W|YLR297W,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
0.9,chrIV:1338321_T/G|YDR487C,YDR253C|YKL104C,YDR253C|YIR017C,YKL104C|YOL011W,YDR378C|YKL104C,YDR378C|YKR042W,YPL054W|YDR487C,YPL054W|YLR297W,YKR042W|YDR378C,YKR042W|YIR017C,YKL071W|YPL054W,YKL071W|YDR487C,YKL071W|YLR297W,YPR194C|YLR297W,YDR487C|YPL054W,YIR017C|YPL054W,YLR297W|YPL054W,YLR297W|YOL011W,YOL011W|YLR297W,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
0.95,chrIV:1338321_T/G|YDR487C,YDR253C|YKL104C,YDR253C|YIR017C,YKL104C|YOL011W,YDR378C|YKL104C,YDR378C|YKR042W,YPL054W|YDR487C,YPL054W|YLR297W,YKR042W|YDR378C,YKR042W|YIR017C,YKL071W|YPL054W,YKL071W|YDR487C,YKL071W|YLR297W,YPR194C|YLR297W,YDR487C|YPL054W,YIR017C|YPL054W,YLR297W|YPL054W,YLR297W|YOL011W,YOL011W|YLR297W,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
1,chrIV:1338321_T/G|YDR487C,YDR253C|YKL104C,YDR253C|YIR017C,YKL104C|YOL011W,YDR378C|YKL104C,YDR378C|YKR042W,YPL054W|YDR487C,YPL054W|YLR297W,YKR042W|YDR378C,YKR042W|YIR017C,YKL071W|YPL054W,YKL071W|YDR487C,YKL071W|YLR297W,YPR194C|YLR297W,YDR487C|YPL054W,YIR017C|YPL054W,YLR297W|YPL054W,YLR297W|YOL011W,YOL011W|YLR297W,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
