fdr,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values
0.5,chrVII:448106_T/C|YGL001C,chrVII:448106_T/C|YDR492W,YGL013C|YER073W,YGL013C|YHR086W,YGL013C|YPL256C,YGL013C|YGL100W,YGL001C|YGR019W,YMR241W|YPL256C,YGR296W|YPL283C,YHR086W|YGL013C,YHR086W|YPL256C,YDR366C|YGR255C,YGR043C|YPL256C,YGR043C|YGR019W,YPL283C|YGR296W,YGR255C|YER073W,YGR255C|YDR366C,YGR255C|YGR019W,YNL255C|YGR019W,YNL255C|YCL043C,YER003C|YER073W,YER003C|YPL256C,YDR492W|YER073W,YGL100W|YGL013C,YGL100W|YER073W,YCL043C|YGR019W,YCL043C|YNL255C,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
0.55,chrVII:448106_T/C|YGL001C,chrVII:448106_T/C|YDR492W,YGL013C|YER073W,YGL013C|YHR086W,YGL013C|YPL256C,YGL013C|YGL100W,YGL001C|YGR019W,YMR241W|YPL256C,YMR241W|YNL255C,YGR296W|YPL283C,YHR086W|YGL013C,YHR086W|YPL256C,YDR366C|YGR255C,YGR043C|YPL256C,YGR043C|YGR019W,YPL283C|YGR296W,YGR255C|YER073W,YGR255C|YDR366C,YGR255C|YGR019W,YNL255C|YMR241W,YNL255C|YGR019W,YNL255C|YCL043C,YER003C|YER073W,YER003C|YPL256C,YDR492W|YER073W,YGL100W|YGL013C,YGL100W|YER073W,YCL043C|YGR019W,YCL043C|YNL255C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.6,chrVII:448106_T/C|YGL001C,chrVII:448106_T/C|YDR492W,YGL013C|YER073W,YGL013C|YHR086W,YGL013C|YPL256C,YGL013C|YGL100W,YGL001C|YGR019W,YMR241W|YPL256C,YMR241W|YNL255C,YGR296W|YPL283C,YHR086W|YGL013C,YHR086W|YPL256C,YDR366C|YGR255C,YGR043C|YPL256C,YGR043C|YGR019W,YPL283C|YGR296W,YGR255C|YER073W,YGR255C|YDR366C,YGR255C|YGR019W,YNL255C|YMR241W,YNL255C|YGR019W,YNL255C|YCL043C,YER003C|YER073W,YER003C|YPL256C,YDR492W|YER073W,YGL100W|YGL013C,YGL100W|YER073W,YCL043C|YGR019W,YCL043C|YNL255C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.65,chrVII:448106_T/C|YGL001C,chrVII:448106_T/C|YDR492W,YGL013C|YER073W,YGL013C|YHR086W,YGL013C|YPL256C,YGL013C|YGL100W,YGL001C|YGR019W,YMR241W|YPL256C,YMR241W|YNL255C,YGR296W|YPL283C,YHR086W|YGL013C,YHR086W|YPL256C,YDR366C|YGR255C,YGR043C|YPL256C,YGR043C|YGR019W,YPL283C|YGR296W,YGR255C|YER073W,YGR255C|YDR366C,YGR255C|YGR019W,YNL255C|YMR241W,YNL255C|YGR019W,YNL255C|YCL043C,YER003C|YER073W,YER003C|YPL256C,YDR492W|YER073W,YGL100W|YGL013C,YGL100W|YER073W,YCL043C|YGR019W,YCL043C|YNL255C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.7,chrVII:448106_T/C|YGL001C,chrVII:448106_T/C|YDR492W,YGL013C|YER073W,YGL013C|YHR086W,YGL013C|YPL256C,YGL013C|YGL100W,YGL001C|YGR019W,YMR241W|YPL256C,YMR241W|YNL255C,YGR296W|YPL283C,YHR086W|YGL013C,YHR086W|YPL256C,YDR366C|YGR255C,YGR043C|YPL256C,YGR043C|YGR019W,YPL283C|YGR296W,YGR255C|YER073W,YGR255C|YDR366C,YGR255C|YGR019W,YNL255C|YMR241W,YNL255C|YGR019W,YNL255C|YCL043C,YER003C|YER073W,YER003C|YPL256C,YDR492W|YER073W,YGL100W|YGL013C,YGL100W|YER073W,YCL043C|YGR019W,YCL043C|YNL255C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.75,chrVII:448106_T/C|YGL001C,chrVII:448106_T/C|YDR492W,YGL013C|YER073W,YGL013C|YHR086W,YGL013C|YPL256C,YGL013C|YGL100W,YGL001C|YGR019W,YMR241W|YPL256C,YMR241W|YNL255C,YGR296W|YPL283C,YHR086W|YGL013C,YHR086W|YPL256C,YDR366C|YGR255C,YGR043C|YPL256C,YGR043C|YGR019W,YPL283C|YGR296W,YGR255C|YER073W,YGR255C|YDR366C,YGR255C|YGR019W,YNL255C|YMR241W,YNL255C|YGR019W,YNL255C|YCL043C,YER003C|YER073W,YER003C|YPL256C,YDR492W|YER073W,YGL100W|YGL013C,YGL100W|YER073W,YCL043C|YGR019W,YCL043C|YNL255C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.8,chrVII:448106_T/C|YGL001C,chrVII:448106_T/C|YDR492W,YGL013C|YER073W,YGL013C|YHR086W,YGL013C|YPL256C,YGL013C|YGL100W,YGL001C|YGR019W,YMR241W|YPL256C,YMR241W|YNL255C,YGR296W|YPL283C,YHR086W|YGL013C,YHR086W|YPL256C,YDR366C|YGR255C,YGR043C|YPL256C,YGR043C|YGR019W,YPL283C|YGR296W,YGR255C|YER073W,YGR255C|YDR366C,YGR255C|YGR019W,YNL255C|YMR241W,YNL255C|YGR019W,YNL255C|YCL043C,YER003C|YER073W,YER003C|YPL256C,YDR492W|YER073W,YGL100W|YGL013C,YGL100W|YER073W,YCL043C|YGR019W,YCL043C|YNL255C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.85,chrVII:448106_T/C|YGL001C,chrVII:448106_T/C|YDR492W,YGL013C|YER073W,YGL013C|YHR086W,YGL013C|YPL256C,YGL013C|YGL100W,YGL001C|YGR019W,YMR241W|YPL256C,YMR241W|YNL255C,YGR296W|YPL283C,YHR086W|YGL013C,YHR086W|YPL256C,YDR366C|YGR255C,YGR043C|YPL256C,YGR043C|YGR019W,YPL283C|YGR296W,YGR255C|YER073W,YGR255C|YDR366C,YGR255C|YGR019W,YNL255C|YMR241W,YNL255C|YGR019W,YNL255C|YCL043C,YER003C|YER073W,YER003C|YPL256C,YDR492W|YER073W,YGL100W|YGL013C,YGL100W|YER073W,YCL043C|YGR019W,YCL043C|YNL255C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.9,chrVII:448106_T/C|YGL001C,chrVII:448106_T/C|YDR492W,YGL013C|YER073W,YGL013C|YHR086W,YGL013C|YPL256C,YGL013C|YGL100W,YGL001C|YGR019W,YMR241W|YPL256C,YMR241W|YNL255C,YGR296W|YPL283C,YHR086W|YGL013C,YHR086W|YPL256C,YDR366C|YGR255C,YGR043C|YPL256C,YGR043C|YGR019W,YPL283C|YGR296W,YGR255C|YER073W,YGR255C|YDR366C,YGR255C|YGR019W,YNL255C|YMR241W,YNL255C|YGR019W,YNL255C|YCL043C,YER003C|YPL256C,YDR492W|YER073W,YGL100W|YGL013C,YGL100W|YER073W,YCL043C|YGR019W,YCL043C|YNL255C,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
0.95,chrVII:448106_T/C|YGL001C,chrVII:448106_T/C|YDR492W,YGL013C|YER073W,YGL013C|YHR086W,YGL013C|YPL256C,YGL013C|YGL100W,YGL001C|YGR019W,YMR241W|YPL256C,YMR241W|YNL255C,YGR296W|YPL283C,YHR086W|YGL013C,YHR086W|YPL256C,YDR366C|YGR255C,YGR043C|YPL256C,YGR043C|YGR019W,YPL283C|YGR296W,YGR255C|YER073W,YGR255C|YDR366C,YGR255C|YGR019W,YNL255C|YMR241W,YNL255C|YGR019W,YNL255C|YCL043C,YER003C|YPL256C,YDR492W|YER073W,YGL100W|YGL013C,YGL100W|YER073W,YCL043C|YGR019W,YCL043C|YNL255C,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
1,chrVII:448106_T/C|YGL001C,chrVII:448106_T/C|YDR492W,YGL013C|YER073W,YGL013C|YHR086W,YGL013C|YPL256C,YGL013C|YGL100W,YGL001C|YGR019W,YMR241W|YPL256C,YMR241W|YNL255C,YGR296W|YPL283C,YHR086W|YGL013C,YHR086W|YPL256C,YDR366C|YGR255C,YGR043C|YPL256C,YGR043C|YGR019W,YPL283C|YGR296W,YGR255C|YER073W,YGR255C|YDR366C,YGR255C|YGR019W,YNL255C|YMR241W,YNL255C|YGR019W,YNL255C|YCL043C,YER003C|YPL256C,YDR492W|YER073W,YGL100W|YGL013C,YGL100W|YER073W,YCL043C|YGR019W,YCL043C|YNL255C,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
