fdr,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values
0.5,chrIX:178160_C/T|YIL099W,YIL101C|YIL099W,YDR309C|YPR175W,YDL048C|YIL101C,YDL048C|YER130C,YDL048C|YDL210W,YER130C|YCR002C,YPR113W|YER130C,YLR180W|YIL099W,YOR315W|YER046W,YGR155W|YLR180W,YGR155W|YKR069W,YIL055C|YIL101C,YIL055C|YOR315W,YIL055C|YJL108C,YIL055C|YOR202W,YIL055C|YIL098C,YPR175W|YDR309C,YPR175W|YPR113W,YPR175W|YIL098C,YJL108C|YIL055C,YJL108C|YIL098C,YDL210W|YDL048C,YHL028W|YPR113W,YHL028W|YOR315W,YKR069W|YJR010W,YJR137C|YER130C,YJR137C|YKR069W,YJR137C|YJR010W,YCR002C|YLR180W,YCR002C|YER046W,YOR202W|YIL055C,YJR010W|YJR137C,YIL098C|YIL055C,YIL098C|YPR175W,YIL098C|YJL108C,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
0.55,chrIX:178160_C/T|YIL099W,YIL101C|YIL099W,YDR309C|YPR175W,YDL048C|YIL101C,YDL048C|YER130C,YDL048C|YDL210W,YER130C|YCR002C,YPR113W|YER130C,YLR180W|YIL099W,YOR315W|YER046W,YGR155W|YLR180W,YGR155W|YKR069W,YIL055C|YIL101C,YIL055C|YOR315W,YIL055C|YJL108C,YIL055C|YOR202W,YIL055C|YIL098C,YPR175W|YDR309C,YPR175W|YPR113W,YPR175W|YIL098C,YJL108C|YIL055C,YJL108C|YIL098C,YDL210W|YDL048C,YHL028W|YPR113W,YHL028W|YOR315W,YKR069W|YJR010W,YJR137C|YER130C,YJR137C|YKR069W,YJR137C|YJR010W,YCR002C|YLR180W,YCR002C|YER046W,YOR202W|YIL055C,YJR010W|YJR137C,YIL098C|YIL055C,YIL098C|YPR175W,YIL098C|YJL108C,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
0.6,chrIX:178160_C/T|YIL099W,YIL101C|YIL099W,YDR309C|YPR175W,YDL048C|YIL101C,YDL048C|YER130C,YDL048C|YDL210W,YER130C|YCR002C,YPR113W|YER130C,YLR180W|YIL099W,YOR315W|YER046W,YGR155W|YLR180W,YGR155W|YKR069W,YIL055C|YIL101C,YIL055C|YOR315W,YIL055C|YJL108C,YIL055C|YOR202W,YIL055C|YIL098C,YPR175W|YDR309C,YPR175W|YPR113W,YPR175W|YIL098C,YJL108C|YIL055C,YJL108C|YIL098C,YDL210W|YDL048C,YHL028W|YPR113W,YHL028W|YOR315W,YKR069W|YJR010W,YJR137C|YER130C,YJR137C|YKR069W,YJR137C|YJR010W,YCR002C|YLR180W,YCR002C|YER046W,YOR202W|YIL055C,YJR010W|YJR137C,YIL098C|YIL055C,YIL098C|YPR175W,YIL098C|YJL108C,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
0.65,chrIX:178160_C/T|YIL099W,YIL101C|YIL099W,YDR309C|YPR175W,YDL048C|YIL101C,YDL048C|YER130C,YDL048C|YDL210W,YER130C|YCR002C,YPR113W|YER130C,YLR180W|YIL099W,YOR315W|YER046W,YGR155W|YLR180W,YGR155W|YKR069W,YIL055C|YIL101C,YIL055C|YOR315W,YIL055C|YJL108C,YIL055C|YOR202W,YIL055C|YIL098C,YPR175W|YDR309C,YPR175W|YPR113W,YPR175W|YIL098C,YJL108C|YIL055C,YJL108C|YIL098C,YDL210W|YDL048C,YHL028W|YPR113W,YHL028W|YOR315W,YKR069W|YJR010W,YJR137C|YER130C,YJR137C|YKR069W,YJR137C|YJR010W,YCR002C|YLR180W,YCR002C|YER046W,YOR202W|YIL055C,YJR010W|YJR137C,YIL098C|YIL055C,YIL098C|YPR175W,YIL098C|YJL108C,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
0.7,chrIX:178160_C/T|YIL099W,YIL101C|YIL099W,YDR309C|YPR175W,YDL048C|YIL101C,YDL048C|YER130C,YDL048C|YDL210W,YER130C|YCR002C,YPR113W|YER130C,YLR180W|YIL099W,YOR315W|YER046W,YGR155W|YLR180W,YGR155W|YKR069W,YIL055C|YIL101C,YIL055C|YOR315W,YIL055C|YJL108C,YIL055C|YOR202W,YIL055C|YIL098C,YPR175W|YDR309C,YPR175W|YPR113W,YPR175W|YIL098C,YJL108C|YIL055C,YJL108C|YIL098C,YDL210W|YDL048C,YHL028W|YPR113W,YHL028W|YOR315W,YKR069W|YJR010W,YJR137C|YER130C,YJR137C|YKR069W,YJR137C|YJR010W,YCR002C|YLR180W,YCR002C|YER046W,YOR202W|YIL055C,YJR010W|YJR137C,YIL098C|YIL055C,YIL098C|YPR175W,YIL098C|YJL108C,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
0.75,chrIX:178160_C/T|YIL099W,YIL101C|YIL099W,YDR309C|YPR175W,YDL048C|YIL101C,YDL048C|YER130C,YDL048C|YDL210W,YER130C|YCR002C,YPR113W|YER130C,YLR180W|YIL099W,YOR315W|YER046W,YGR155W|YLR180W,YGR155W|YKR069W,YIL055C|YIL101C,YIL055C|YOR315W,YIL055C|YJL108C,YIL055C|YOR202W,YIL055C|YIL098C,YPR175W|YDR309C,YPR175W|YPR113W,YPR175W|YIL098C,YJL108C|YIL055C,YJL108C|YIL098C,YDL210W|YDL048C,YHL028W|YPR113W,YHL028W|YOR315W,YKR069W|YJR010W,YJR137C|YER130C,YJR137C|YKR069W,YJR137C|YJR010W,YCR002C|YLR180W,YCR002C|YER046W,YOR202W|YIL055C,YJR010W|YJR137C,YIL098C|YIL055C,YIL098C|YPR175W,YIL098C|YJL108C,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
0.8,chrIX:178160_C/T|YIL099W,YIL101C|YIL099W,YDR309C|YPR175W,YDL048C|YIL101C,YDL048C|YER130C,YDL048C|YDL210W,YER130C|YCR002C,YPR113W|YER130C,YLR180W|YIL099W,YOR315W|YER046W,YGR155W|YLR180W,YGR155W|YKR069W,YIL055C|YIL101C,YIL055C|YOR315W,YIL055C|YJL108C,YIL055C|YOR202W,YIL055C|YIL098C,YPR175W|YDR309C,YPR175W|YPR113W,YPR175W|YIL098C,YJL108C|YIL055C,YJL108C|YIL098C,YDL210W|YDL048C,YHL028W|YPR113W,YHL028W|YOR315W,YKR069W|YJR010W,YJR137C|YER130C,YJR137C|YKR069W,YJR137C|YJR010W,YCR002C|YLR180W,YCR002C|YER046W,YOR202W|YIL055C,YJR010W|YJR137C,YIL098C|YIL055C,YIL098C|YPR175W,YIL098C|YJL108C,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
0.85,chrIX:178160_C/T|YIL099W,YIL101C|YIL099W,YDR309C|YPR175W,YDL048C|YIL101C,YDL048C|YER130C,YDL048C|YDL210W,YER130C|YCR002C,YPR113W|YER130C,YLR180W|YIL099W,YOR315W|YER046W,YGR155W|YLR180W,YGR155W|YKR069W,YIL055C|YIL101C,YIL055C|YOR315W,YIL055C|YJL108C,YIL055C|YOR202W,YIL055C|YIL098C,YPR175W|YDR309C,YPR175W|YPR113W,YPR175W|YIL098C,YJL108C|YIL055C,YJL108C|YIL098C,YDL210W|YDL048C,YHL028W|YPR113W,YHL028W|YOR315W,YKR069W|YJR010W,YJR137C|YER130C,YJR137C|YKR069W,YJR137C|YJR010W,YCR002C|YLR180W,YCR002C|YER046W,YOR202W|YIL055C,YJR010W|YJR137C,YIL098C|YIL055C,YIL098C|YPR175W,YIL098C|YJL108C,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
0.9,chrIX:178160_C/T|YIL099W,YIL101C|YIL099W,YDR309C|YPR175W,YDL048C|YIL101C,YDL048C|YER130C,YDL048C|YDL210W,YER130C|YCR002C,YPR113W|YER130C,YLR180W|YIL099W,YOR315W|YER046W,YGR155W|YLR180W,YGR155W|YKR069W,YIL055C|YIL101C,YIL055C|YOR315W,YIL055C|YJL108C,YIL055C|YOR202W,YIL055C|YIL098C,YPR175W|YDR309C,YPR175W|YPR113W,YPR175W|YIL098C,YJL108C|YIL055C,YJL108C|YIL098C,YDL210W|YDL048C,YHL028W|YPR113W,YHL028W|YOR315W,YKR069W|YJR010W,YJR137C|YER130C,YJR137C|YKR069W,YJR137C|YJR010W,YCR002C|YLR180W,YCR002C|YER046W,YOR202W|YIL055C,YJR010W|YJR137C,YIL098C|YIL055C,YIL098C|YPR175W,YIL098C|YJL108C,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
0.95,chrIX:178160_C/T|YIL099W,YIL101C|YIL099W,YDR309C|YPR175W,YDL048C|YIL101C,YDL048C|YER130C,YDL048C|YDL210W,YER130C|YCR002C,YPR113W|YER130C,YLR180W|YIL099W,YOR315W|YER046W,YGR155W|YLR180W,YGR155W|YKR069W,YIL055C|YIL101C,YIL055C|YOR315W,YIL055C|YJL108C,YIL055C|YOR202W,YIL055C|YIL098C,YPR175W|YDR309C,YPR175W|YPR113W,YPR175W|YIL098C,YJL108C|YIL055C,YJL108C|YIL098C,YDL210W|YDL048C,YHL028W|YPR113W,YHL028W|YOR315W,YKR069W|YJR010W,YJR137C|YER130C,YJR137C|YKR069W,YJR137C|YJR010W,YCR002C|YLR180W,YCR002C|YER046W,YOR202W|YIL055C,YJR010W|YJR137C,YIL098C|YIL055C,YIL098C|YPR175W,YIL098C|YJL108C,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
1,chrIX:178160_C/T|YIL099W,YIL101C|YIL099W,YDR309C|YPR175W,YDL048C|YIL101C,YDL048C|YER130C,YDL048C|YDL210W,YER130C|YCR002C,YPR113W|YER130C,YLR180W|YIL099W,YOR315W|YER046W,YGR155W|YLR180W,YGR155W|YKR069W,YIL055C|YIL101C,YIL055C|YOR315W,YIL055C|YJL108C,YIL055C|YOR202W,YIL055C|YIL098C,YPR175W|YDR309C,YPR175W|YPR113W,YPR175W|YIL098C,YJL108C|YIL055C,YJL108C|YIL098C,YDL210W|YDL048C,YHL028W|YPR113W,YHL028W|YOR315W,YKR069W|YJR010W,YJR137C|YER130C,YJR137C|YKR069W,YJR137C|YJR010W,YCR002C|YLR180W,YCR002C|YER046W,YOR202W|YIL055C,YJR010W|YJR137C,YIL098C|YIL055C,YIL098C|YPR175W,YIL098C|YJL108C,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
