fdr,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values
0.5,chrXV:590443_A/G|YOR140W,chrXV:590443_A/G|YGR249W,YOR140W|YGL148W,YOR140W|YBR177C,YGR249W|YLL052C,YGL148W|YOR140W,YBR177C|YGR249W,YBR177C|YGL148W,YLL052C|YGL148W,1,1,1,1,1,1,1,1,1
0.55,chrXV:590443_A/G|YOR140W,chrXV:590443_A/G|YGR249W,YOR140W|YGL148W,YOR140W|YBR177C,YGR249W|YLL052C,YGL148W|YOR140W,YBR177C|YGR249W,YBR177C|YGL148W,YLL052C|YGL148W,1,1,1,1,1,1,1,1,1
0.6,chrXV:590443_A/G|YOR140W,chrXV:590443_A/G|YGR249W,YOR140W|YGL148W,YOR140W|YBR177C,YGR249W|YLL052C,YGL148W|YOR140W,YBR177C|YGR249W,YBR177C|YGL148W,YLL052C|YGL148W,1,1,1,1,1,1,1,1,1
0.65,chrXV:590443_A/G|YOR140W,chrXV:590443_A/G|YGR249W,YOR140W|YGL148W,YOR140W|YBR177C,YGR249W|YLL052C,YGL148W|YOR140W,YBR177C|YGR249W,YBR177C|YGL148W,YLL052C|YGL148W,1,1,1,1,1,1,1,1,1
0.7,chrXV:590443_A/G|YOR140W,chrXV:590443_A/G|YGR249W,YOR140W|YGL148W,YOR140W|YBR177C,YGR249W|YLL052C,YGL148W|YOR140W,YBR177C|YGR249W,YBR177C|YGL148W,YLL052C|YGL148W,1,1,1,1,1,1,1,1,1
0.75,chrXV:590443_A/G|YOR140W,chrXV:590443_A/G|YGR249W,YOR140W|YGL148W,YOR140W|YBR177C,YGR249W|YLL052C,YGL148W|YOR140W,YBR177C|YGR249W,YBR177C|YGL148W,YLL052C|YGL148W,1,1,1,1,1,1,1,1,1
0.8,chrXV:590443_A/G|YOR140W,chrXV:590443_A/G|YGR249W,YOR140W|YGL148W,YOR140W|YBR177C,YGR249W|YLL052C,YGL148W|YOR140W,YBR177C|YGR249W,YBR177C|YGL148W,YLL052C|YGL148W,1,1,1,1,1,1,1,1,1
0.85,chrXV:590443_A/G|YOR140W,chrXV:590443_A/G|YGR249W,YOR140W|YGL148W,YOR140W|YBR177C,YGR249W|YLL052C,YGL148W|YOR140W,YBR177C|YGR249W,YBR177C|YGL148W,YLL052C|YGL148W,1,1,1,1,1,1,1,1,1
0.9,chrXV:590443_A/G|YOR140W,chrXV:590443_A/G|YGR249W,YOR140W|YGL148W,YOR140W|YBR177C,YGR249W|YLL052C,YGL148W|YOR140W,YBR177C|YGR249W,YBR177C|YGL148W,YLL052C|YGL148W,1,1,1,1,1,1,1,1,1
0.95,chrXV:590443_A/G|YOR140W,chrXV:590443_A/G|YGR249W,YOR140W|YGL148W,YOR140W|YBR177C,YGR249W|YLL052C,YGL148W|YOR140W,YBR177C|YGR249W,YBR177C|YGL148W,YLL052C|YGL148W,1,1,1,1,1,1,1,1,1
1,chrXV:590443_A/G|YOR140W,chrXV:590443_A/G|YGR249W,YOR140W|YGL148W,YOR140W|YBR177C,YGR249W|YLL052C,YGL148W|YOR140W,YBR177C|YGR249W,YBR177C|YGL148W,YLL052C|YGL148W,1,1,1,1,1,1,1,1,1
